# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ATM	ENSG00000149311	ENST00000278616	protein_coding	0	3	0	2	0	0	0	3	0	0	1	2	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	0	3	0	2	0	0	0	3	0	0	1	2	0
ATM	ENSG00000149311	ENST00000524792	retained_intron	0	1	0	2	0	0	0	1	0	2	1	0	0
ATM	ENSG00000149311	ENST00000525012	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2
ATM	ENSG00000149311	ENST00000525056	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	1
ATM	ENSG00000149311	ENST00000525537	retained_intron	0	0	0	1	0	1	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000527389	retained_intron	0	0	0	1	0	1	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000527805	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
ATM	ENSG00000149311	ENST00000529588	nonsense_mediated_decay	0	0	0	3	1	0	0	0	0	1	0	0	1
ATM	ENSG00000149311	ENST00000532765	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0
ATM	ENSG00000149311	ENST00000533526	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	2
ATM	ENSG00000149311	ENST00000533690	retained_intron	0	1	0	2	0	0	0	1	0	2	1	0	0
ATM	ENSG00000149311	ENST00000533979	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	1
ATM	ENSG00000149311	ENST00000534625	retained_intron	0	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000309486	protein_coding	1	0	2	1	0	0	1	1	2	0	0	0	0
BRCA1	ENSG00000012048	ENST00000346315	protein_coding	1	0	2	1	0	0	1	1	2	0	0	0	0
BRCA1	ENSG00000012048	ENST00000351666	protein_coding	1	0	0	3	0	0	1	3	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000352993	protein_coding	1	0	0	3	0	0	1	3	0	0	0	0	0
